name,birthdate,deathdate
Denise LaSalle,1934-07-16,2018-01-08
Keith Jackson,1928-10-18,2018-01-12
Mark Salling,1982-08-17,2018-01-30
John Mahoney,1940-06-20,2018-02-04
Billy Graham,1918-11-07,2018-02-21
Craig Mack,1970-05-10,2018-03-12
Stephen Hawking,1942-01-08,2018-03-14
Louise Slaughter,1929-08-14,2018-03-16
Rusty Staub,1944-04-01,2018-03-29
Steven Bochco,1943-12-16,2018-04-01
R. Lee Ermey,1944-03-24,2018-04-15
Barbara Bush,1925-06-08,2018-04-17
Bruno Sammartino,1935-10-06,2018-04-18
Margot Kidder,1948-10-17,2018-05-13
Dwight Clark,1957-01-08,2018-06-04
Kate Spade,1962-12-24,2018-06-05
Joe Jackson,1929-07-26,2018-06-27
Charlotte Rae,1926-04-22,2018-08-05
"Jim ""The Anvil"" Neidhart",1955-02-08,2018-08-13
John McCain,1936-08-29,2018-08-25
Burt Reynolds,1936-02-11,2018-09-06
Scott Wilson,1942-03-29,2018-10-06
Robert McNair,1937-01-01,2018-11-23
George H.W. Bush,1924-06-13,2018-11-30
Penny Marshall,1943-10-15,2018-12-17
Bob Einstein,1942-11-20,2019-01-02
Daryl Dragon,1942-08-27,2019-01-02
Mel Stottlemyre,1941-11-13,2019-01-13
Carol Channing,1921-01-31,2019-01-15
Antonio Mendez,1940-11-15,2019-01-19
Russell Baker,1925-08-14,2019-01-21
Michel Legrand,1932-02-24,2019-01-26
Albert Finney,1936-05-09,2019-02-07
Karl Lagerfeld,1933-09-10,2019-02-19
Peter Tork,1942-02-13,2019-02-21
Nathaniel Taylor,1938-03-31,2019-02-27
Luke Perry,1966-10-11,2019-03-04
King Kong Bundy,1954-11-07,2019-03-04
Scott Walker,1943-01-09,2019-03-22
Larry Cohen,1936-07-15,2019-03-23
Charles Van Doren,1926-02-12,2019-04-09
Jerry Lawson,1940-12-01,2019-04-09
Ashley Massaro,1979-05-26,2019-05-16
Niki Lauda,1949-02-22,2019-05-20
Bill Buckner,1949-12-14,2019-05-27
Leon Redbone,1949-08-26,2019-05-30
Sylvia Miles,1924-09-09,2019-06-12
Gloria Vanderbilt,1924-02-20,2019-06-17
Dave Bartholomew,1918-12-24,2019-06-23
Max Wright,1943-08-02,2019-06-26
Beth Chapman,1962-04-06,2019-06-26
Joao Gilberto,1931-06-10,2019-07-06
Cameron Boyce,1999-05-28,2019-07-06
Martin Charnin,1934-11-24,2019-07-06
Rip Torn,1931-02-06,2019-07-09
Ross Perot,1930-06-27,2019-07-09
Pernell Whitaker,1964-01-02,2019-07-14
John Paul Stevens,1920-04-20,2019-07-16
Harold Prince,1928-01-30,2019-07-31
Toni Morrison,1931-02-18,2019-08-08
Richard Williams,1942-02-14,2019-08-16
Peter Fonda,1940-02-23,2019-08-16
David Koch,1940-03-03,2019-08-23
Valerie Harper,1939-08-22,2019-08-30
Jimmy Johnson,1943-02-04,2019-09-05
Robert Mugabe,1924-02-21,2019-09-06
Daniel Johnston,1961-01-22,2019-09-11
Eddie Money,1949-03-02,2019-09-13
Cokie Roberts,1943-12-17,2019-09-17
Jacques Chirac,1932-11-29,2019-09-26
Rip Taylor,1931-01-13,2019-10-06
Robert Forster,1941-07-13,2019-10-11
Elijah Cummings,1951-01-18,2019-10-17
Bill Macy,1922-05-18,2019-10-17
John Witherspoon,1942-01-27,2019-10-29
Juice Wrld,1998-12-02,2019-12-08
Pete Frates,1984-12-28,2019-12-09
Danny Aiello,1933-06-20,2019-12-12
Herman Boone,1935-10-28,2019-12-18
Jerry Herman,1931-07-10,2019-12-26
Terry Jones,1942-02-01,2020-01-20
Jim Lehrer,1934-05-19,2020-01-23
Kobe Bryant,1978-08-23,2020-01-26
Kirk Douglas,1916-12-09,2020-02-05
B. Smith,1949-08-24,2020-02-22
Katherine Johnson,1918-08-26,2020-02-24
Max von Sydow,1929-04-10,2020-03-08
Kenny Rogers,1938-08-21,2020-03-20
"Fred ""Curly"" Neal",1942-05-19,2020-03-26
Bill Withers,1938-07-04,2020-03-30
Adam Schlesinger,1967-10-31,2020-04-01
Honor Blackman,1925-08-22,2020-04-05
Steve Dalkowski,1939-07-03,2020-04-19
Don Shula,1930-01-04,2020-05-04
Little Richard,1932-12-05,2020-05-09
Jerry Stiller,1927-06-08,2020-05-11
Wes Unseld,1946-03-14,2020-06-02
Vera Lynn,1917-03-20,2020-06-18
Ian Holm,1931-09-12,2020-06-19
Carl Reiner,1922-03-20,2020-06-29
John Lewis,1940-02-21,2020-07-17
Regis Philbin,1931-08-25,2020-07-24
Olivia de Havilland,1916-07-01,2020-07-26
Herman Cain,1945-12-13,2020-07-30
Chadwick Boseman,1976-11-29,2020-08-28
Stanley Crouch,1945-12-14,2020-09-16
Eddie Van Halen,1955-01-26,2020-10-06
Whitey Ford,1928-10-21,2020-10-08
Sean Connery,1930-08-25,2020-10-31
Diego Maradona,1960-10-30,2020-11-25
Chuck Yeager,1923-02-13,2020-12-07
