,name,actual_deathdate,temperature,gpt_deathdate,date_difference,abs_date_difference,is_accurate,year_month,year_month_formatted
0,Dan Reeves,2022-01-01,0.0,2022-01-01,0.0,0.0,True,2022-01,Jan 2022
1,Dan Reeves,2022-01-01,0.0,2022-01-01,0.0,0.0,True,2022-01,Jan 2022
2,Dan Reeves,2022-01-01,0.0,2022-01-01,0.0,0.0,True,2022-01,Jan 2022
3,Dan Reeves,2022-01-01,0.0,2022-01-01,0.0,0.0,True,2022-01,Jan 2022
4,Dan Reeves,2022-01-01,0.0,2022-01-01,0.0,0.0,True,2022-01,Jan 2022
5,Dan Reeves,2022-01-01,0.0,2022-01-01,0.0,0.0,True,2022-01,Jan 2022
6,Dan Reeves,2022-01-01,0.0,2022-01-01,0.0,0.0,True,2022-01,Jan 2022
7,Dan Reeves,2022-01-01,0.0,2022-01-01,0.0,0.0,True,2022-01,Jan 2022
8,Dan Reeves,2022-01-01,0.0,2022-01-01,0.0,0.0,True,2022-01,Jan 2022
9,Dan Reeves,2022-01-01,0.0,2022-01-01,0.0,0.0,True,2022-01,Jan 2022
10,Dan Reeves,2022-01-01,0.25,2022-01-01,0.0,0.0,True,2022-01,Jan 2022
11,Dan Reeves,2022-01-01,0.25,2022-01-01,0.0,0.0,True,2022-01,Jan 2022
12,Dan Reeves,2022-01-01,0.25,2022-01-01,0.0,0.0,True,2022-01,Jan 2022
13,Dan Reeves,2022-01-01,0.25,2022-01-01,0.0,0.0,True,2022-01,Jan 2022
14,Dan Reeves,2022-01-01,0.25,2022-01-01,0.0,0.0,True,2022-01,Jan 2022
15,Dan Reeves,2022-01-01,0.25,2022-01-01,0.0,0.0,True,2022-01,Jan 2022
16,Dan Reeves,2022-01-01,0.25,2022-01-01,0.0,0.0,True,2022-01,Jan 2022
17,Dan Reeves,2022-01-01,0.25,2022-01-01,0.0,0.0,True,2022-01,Jan 2022
18,Dan Reeves,2022-01-01,0.25,2022-01-01,0.0,0.0,True,2022-01,Jan 2022
19,Dan Reeves,2022-01-01,0.25,2022-01-01,0.0,0.0,True,2022-01,Jan 2022
20,Dan Reeves,2022-01-01,0.5,2022-01-01,0.0,0.0,True,2022-01,Jan 2022
21,Dan Reeves,2022-01-01,0.5,2022-01-01,0.0,0.0,True,2022-01,Jan 2022
22,Dan Reeves,2022-01-01,0.5,2022-01-01,0.0,0.0,True,2022-01,Jan 2022
23,Dan Reeves,2022-01-01,0.5,2022-01-01,0.0,0.0,True,2022-01,Jan 2022
24,Dan Reeves,2022-01-01,0.5,2022-01-01,0.0,0.0,True,2022-01,Jan 2022
25,Dan Reeves,2022-01-01,0.5,2022-01-01,0.0,0.0,True,2022-01,Jan 2022
26,Dan Reeves,2022-01-01,0.5,2022-01-01,0.0,0.0,True,2022-01,Jan 2022
27,Dan Reeves,2022-01-01,0.5,2022-01-01,0.0,0.0,True,2022-01,Jan 2022
28,Dan Reeves,2022-01-01,0.5,2022-01-01,0.0,0.0,True,2022-01,Jan 2022
29,Dan Reeves,2022-01-01,0.5,2022-01-01,0.0,0.0,True,2022-01,Jan 2022
30,Dan Reeves,2022-01-01,0.75,2022-01-01,0.0,0.0,True,2022-01,Jan 2022
31,Dan Reeves,2022-01-01,0.75,2022-01-01,0.0,0.0,True,2022-01,Jan 2022
32,Dan Reeves,2022-01-01,0.75,2022-01-01,0.0,0.0,True,2022-01,Jan 2022
33,Dan Reeves,2022-01-01,0.75,2022-01-01,0.0,0.0,True,2022-01,Jan 2022
34,Dan Reeves,2022-01-01,0.75,2022-01-01,0.0,0.0,True,2022-01,Jan 2022
35,Dan Reeves,2022-01-01,0.75,2022-01-01,0.0,0.0,True,2022-01,Jan 2022
36,Dan Reeves,2022-01-01,0.75,2022-01-01,0.0,0.0,True,2022-01,Jan 2022
37,Dan Reeves,2022-01-01,0.75,2022-01-01,0.0,0.0,True,2022-01,Jan 2022
38,Dan Reeves,2022-01-01,0.75,2022-01-01,0.0,0.0,True,2022-01,Jan 2022
39,Dan Reeves,2022-01-01,0.75,2022-01-01,0.0,0.0,True,2022-01,Jan 2022
40,Dan Reeves,2022-01-01,1.0,2021-01-01,-365.0,365.0,False,2022-01,Jan 2022
41,Dan Reeves,2022-01-01,1.0,2022-01-01,0.0,0.0,True,2022-01,Jan 2022
42,Dan Reeves,2022-01-01,1.0,2022-01-01,0.0,0.0,True,2022-01,Jan 2022
43,Dan Reeves,2022-01-01,1.0,2022-01-01,0.0,0.0,True,2022-01,Jan 2022
44,Dan Reeves,2022-01-01,1.0,2021-01-01,-365.0,365.0,False,2022-01,Jan 2022
45,Dan Reeves,2022-01-01,1.0,2022-01-01,0.0,0.0,True,2022-01,Jan 2022
46,Dan Reeves,2022-01-01,1.0,2022-01-01,0.0,0.0,True,2022-01,Jan 2022
47,Dan Reeves,2022-01-01,1.0,2022-01-01,0.0,0.0,True,2022-01,Jan 2022
48,Dan Reeves,2022-01-01,1.0,2022-01-01,0.0,0.0,True,2022-01,Jan 2022
49,Dan Reeves,2022-01-01,1.0,2021-01-01,-365.0,365.0,False,2022-01,Jan 2022
50,Sidney Poitier,2022-01-06,0.0,2022-01-06,0.0,0.0,True,2022-01,Jan 2022
51,Sidney Poitier,2022-01-06,0.0,2022-01-06,0.0,0.0,True,2022-01,Jan 2022
52,Sidney Poitier,2022-01-06,0.0,2022-01-06,0.0,0.0,True,2022-01,Jan 2022
53,Sidney Poitier,2022-01-06,0.0,2022-01-06,0.0,0.0,True,2022-01,Jan 2022
54,Sidney Poitier,2022-01-06,0.0,2022-01-06,0.0,0.0,True,2022-01,Jan 2022
55,Sidney Poitier,2022-01-06,0.0,2022-01-06,0.0,0.0,True,2022-01,Jan 2022
56,Sidney Poitier,2022-01-06,0.0,2022-01-06,0.0,0.0,True,2022-01,Jan 2022
57,Sidney Poitier,2022-01-06,0.0,2022-01-06,0.0,0.0,True,2022-01,Jan 2022
58,Sidney Poitier,2022-01-06,0.0,2022-01-06,0.0,0.0,True,2022-01,Jan 2022
59,Sidney Poitier,2022-01-06,0.0,2022-01-06,0.0,0.0,True,2022-01,Jan 2022
60,Sidney Poitier,2022-01-06,0.25,2022-01-06,0.0,0.0,True,2022-01,Jan 2022
61,Sidney Poitier,2022-01-06,0.25,2022-01-06,0.0,0.0,True,2022-01,Jan 2022
62,Sidney Poitier,2022-01-06,0.25,2022-01-06,0.0,0.0,True,2022-01,Jan 2022
63,Sidney Poitier,2022-01-06,0.25,2022-01-06,0.0,0.0,True,2022-01,Jan 2022
64,Sidney Poitier,2022-01-06,0.25,2022-01-06,0.0,0.0,True,2022-01,Jan 2022
65,Sidney Poitier,2022-01-06,0.25,2022-01-06,0.0,0.0,True,2022-01,Jan 2022
66,Sidney Poitier,2022-01-06,0.25,2022-01-06,0.0,0.0,True,2022-01,Jan 2022
67,Sidney Poitier,2022-01-06,0.25,2022-01-06,0.0,0.0,True,2022-01,Jan 2022
68,Sidney Poitier,2022-01-06,0.25,2022-01-06,0.0,0.0,True,2022-01,Jan 2022
69,Sidney Poitier,2022-01-06,0.25,2022-01-06,0.0,0.0,True,2022-01,Jan 2022
70,Sidney Poitier,2022-01-06,0.5,2022-01-06,0.0,0.0,True,2022-01,Jan 2022
71,Sidney Poitier,2022-01-06,0.5,2022-01-06,0.0,0.0,True,2022-01,Jan 2022
72,Sidney Poitier,2022-01-06,0.5,2022-01-06,0.0,0.0,True,2022-01,Jan 2022
73,Sidney Poitier,2022-01-06,0.5,2022-01-06,0.0,0.0,True,2022-01,Jan 2022
74,Sidney Poitier,2022-01-06,0.5,2022-01-06,0.0,0.0,True,2022-01,Jan 2022
75,Sidney Poitier,2022-01-06,0.5,2022-01-06,0.0,0.0,True,2022-01,Jan 2022
76,Sidney Poitier,2022-01-06,0.5,2022-01-06,0.0,0.0,True,2022-01,Jan 2022
77,Sidney Poitier,2022-01-06,0.5,2022-01-06,0.0,0.0,True,2022-01,Jan 2022
78,Sidney Poitier,2022-01-06,0.5,2022-01-06,0.0,0.0,True,2022-01,Jan 2022
79,Sidney Poitier,2022-01-06,0.5,2022-01-06,0.0,0.0,True,2022-01,Jan 2022
80,Sidney Poitier,2022-01-06,0.75,2022-01-06,0.0,0.0,True,2022-01,Jan 2022
81,Sidney Poitier,2022-01-06,0.75,2022-01-06,0.0,0.0,True,2022-01,Jan 2022
82,Sidney Poitier,2022-01-06,0.75,2022-01-06,0.0,0.0,True,2022-01,Jan 2022
83,Sidney Poitier,2022-01-06,0.75,2022-01-06,0.0,0.0,True,2022-01,Jan 2022
84,Sidney Poitier,2022-01-06,0.75,2022-01-06,0.0,0.0,True,2022-01,Jan 2022
85,Sidney Poitier,2022-01-06,0.75,2022-01-06,0.0,0.0,True,2022-01,Jan 2022
86,Sidney Poitier,2022-01-06,0.75,2022-01-06,0.0,0.0,True,2022-01,Jan 2022
87,Sidney Poitier,2022-01-06,0.75,2022-01-06,0.0,0.0,True,2022-01,Jan 2022
88,Sidney Poitier,2022-01-06,0.75,2022-01-06,0.0,0.0,True,2022-01,Jan 2022
89,Sidney Poitier,2022-01-06,0.75,2022-01-06,0.0,0.0,True,2022-01,Jan 2022
90,Sidney Poitier,2022-01-06,1.0,2022-01-06,0.0,0.0,True,2022-01,Jan 2022
91,Sidney Poitier,2022-01-06,1.0,2022-01-06,0.0,0.0,True,2022-01,Jan 2022
92,Sidney Poitier,2022-01-06,1.0,2022-01-06,0.0,0.0,True,2022-01,Jan 2022
93,Sidney Poitier,2022-01-06,1.0,2022-01-06,0.0,0.0,True,2022-01,Jan 2022
94,Sidney Poitier,2022-01-06,1.0,2022-01-06,0.0,0.0,True,2022-01,Jan 2022
95,Sidney Poitier,2022-01-06,1.0,2022-01-06,0.0,0.0,True,2022-01,Jan 2022
96,Sidney Poitier,2022-01-06,1.0,2022-01-06,0.0,0.0,True,2022-01,Jan 2022
97,Sidney Poitier,2022-01-06,1.0,2022-01-06,0.0,0.0,True,2022-01,Jan 2022
98,Sidney Poitier,2022-01-06,1.0,2022-01-06,0.0,0.0,True,2022-01,Jan 2022
99,Sidney Poitier,2022-01-06,1.0,2022-01-06,0.0,0.0,True,2022-01,Jan 2022
100,Peter Bogdanovich,2022-01-06,0.0,2022-01-06,0.0,0.0,True,2022-01,Jan 2022
101,Peter Bogdanovich,2022-01-06,0.0,2022-01-06,0.0,0.0,True,2022-01,Jan 2022
102,Peter Bogdanovich,2022-01-06,0.0,2022-01-06,0.0,0.0,True,2022-01,Jan 2022
103,Peter Bogdanovich,2022-01-06,0.0,2022-01-06,0.0,0.0,True,2022-01,Jan 2022
104,Peter Bogdanovich,2022-01-06,0.0,2022-01-06,0.0,0.0,True,2022-01,Jan 2022
105,Peter Bogdanovich,2022-01-06,0.0,2022-01-06,0.0,0.0,True,2022-01,Jan 2022
106,Peter Bogdanovich,2022-01-06,0.0,2022-01-06,0.0,0.0,True,2022-01,Jan 2022
107,Peter Bogdanovich,2022-01-06,0.0,2022-01-06,0.0,0.0,True,2022-01,Jan 2022
108,Peter Bogdanovich,2022-01-06,0.0,2022-01-06,0.0,0.0,True,2022-01,Jan 2022
109,Peter Bogdanovich,2022-01-06,0.0,2022-01-06,0.0,0.0,True,2022-01,Jan 2022
110,Peter Bogdanovich,2022-01-06,0.25,2022-01-06,0.0,0.0,True,2022-01,Jan 2022
111,Peter Bogdanovich,2022-01-06,0.25,2022-01-06,0.0,0.0,True,2022-01,Jan 2022
112,Peter Bogdanovich,2022-01-06,0.25,2022-01-06,0.0,0.0,True,2022-01,Jan 2022
113,Peter Bogdanovich,2022-01-06,0.25,2022-01-06,0.0,0.0,True,2022-01,Jan 2022
114,Peter Bogdanovich,2022-01-06,0.25,2022-01-06,0.0,0.0,True,2022-01,Jan 2022
115,Peter Bogdanovich,2022-01-06,0.25,2022-01-06,0.0,0.0,True,2022-01,Jan 2022
116,Peter Bogdanovich,2022-01-06,0.25,2022-01-06,0.0,0.0,True,2022-01,Jan 2022
117,Peter Bogdanovich,2022-01-06,0.25,2022-01-06,0.0,0.0,True,2022-01,Jan 2022
118,Peter Bogdanovich,2022-01-06,0.25,2022-01-06,0.0,0.0,True,2022-01,Jan 2022
119,Peter Bogdanovich,2022-01-06,0.25,2022-01-06,0.0,0.0,True,2022-01,Jan 2022
120,Peter Bogdanovich,2022-01-06,0.5,2022-01-06,0.0,0.0,True,2022-01,Jan 2022
121,Peter Bogdanovich,2022-01-06,0.5,2022-01-06,0.0,0.0,True,2022-01,Jan 2022
122,Peter Bogdanovich,2022-01-06,0.5,2022-01-06,0.0,0.0,True,2022-01,Jan 2022
123,Peter Bogdanovich,2022-01-06,0.5,2022-01-06,0.0,0.0,True,2022-01,Jan 2022
124,Peter Bogdanovich,2022-01-06,0.5,2022-01-06,0.0,0.0,True,2022-01,Jan 2022
125,Peter Bogdanovich,2022-01-06,0.5,2022-01-06,0.0,0.0,True,2022-01,Jan 2022
126,Peter Bogdanovich,2022-01-06,0.5,2022-01-06,0.0,0.0,True,2022-01,Jan 2022
127,Peter Bogdanovich,2022-01-06,0.5,2022-01-06,0.0,0.0,True,2022-01,Jan 2022
128,Peter Bogdanovich,2022-01-06,0.5,2022-01-06,0.0,0.0,True,2022-01,Jan 2022
129,Peter Bogdanovich,2022-01-06,0.5,2022-01-06,0.0,0.0,True,2022-01,Jan 2022
130,Peter Bogdanovich,2022-01-06,0.75,2022-01-06,0.0,0.0,True,2022-01,Jan 2022
131,Peter Bogdanovich,2022-01-06,0.75,2022-01-06,0.0,0.0,True,2022-01,Jan 2022
132,Peter Bogdanovich,2022-01-06,0.75,2022-01-06,0.0,0.0,True,2022-01,Jan 2022
133,Peter Bogdanovich,2022-01-06,0.75,2022-01-06,0.0,0.0,True,2022-01,Jan 2022
134,Peter Bogdanovich,2022-01-06,0.75,2022-01-06,0.0,0.0,True,2022-01,Jan 2022
135,Peter Bogdanovich,2022-01-06,0.75,2022-01-06,0.0,0.0,True,2022-01,Jan 2022
136,Peter Bogdanovich,2022-01-06,0.75,2022-01-06,0.0,0.0,True,2022-01,Jan 2022
137,Peter Bogdanovich,2022-01-06,0.75,2022-01-06,0.0,0.0,True,2022-01,Jan 2022
138,Peter Bogdanovich,2022-01-06,0.75,2022-01-06,0.0,0.0,True,2022-01,Jan 2022
